seqnum, uri, duration, bitrate_string, uri_hash_string, download_addr, gear_name_string, quality_type_string, request_time_start, request_time_start, request_time_stop, request_time_stop
0,v12044gd0000cncalr7og65rt15p4r2g,69,1213196&1107331&961506&751568&536275&380140,v12044gd0000cncalr7og65rt15p4r2g&v12044gd0000cncalr7og65rt15p4r2g&v12044gd0000cncalr7og65rt15p4r2g&v12044gd0000cncalr7og65rt15p4r2g&v12044gd0000cncalr7og65rt15p4r2g&v12044gd0000cncalr7og65rt15p4r2g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oc0GLC5oVIvystXigAkeIeUZkrsZLRASfHJjAV/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2162&bt=1081&cs=0&ds=6&ft=4KJMyMzm8Zmo0ebCF-4jV1DVdpWrKsd.&mime_type=video_mp4&qs=0&rc=Omc5NTY0ZzdnZ2U3NTU2ZEBpanVzNHU5cnVkcTMzZzczNEAyNjAwXzYtNjUxMmMzYmMyYSMvMTJxMmQ0aWBgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711749175&l=20240327215145AA70713242448002CB02&ply_type=2&policy=2&signature=a217276f21adcce990229aeeb836ed23&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711576305.1800902, 1711576305.180414, 1711576306.352829, 1711576306.365844
1,v12044gd0000cndjtvfog65vif1523m0,65,1337283&1153226&960430&827969&639151&473300,v12044gd0000cndjtvfog65vif1523m0&v12044gd0000cndjtvfog65vif1523m0&v12044gd0000cndjtvfog65vif1523m0&v12044gd0000cndjtvfog65vif1523m0&v12044gd0000cndjtvfog65vif1523m0&v12044gd0000cndjtvfog65vif1523m0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/oQnJkLGEjIHX7I679bIQ43CAQgiAAfRStLeYHf/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2252&bt=1126&cs=0&ds=6&ft=4KJMyMzm8Zmo0ebCF-4jV1DVdpWrKsd.&mime_type=video_mp4&qs=0&rc=OjQ5ZDw0ZDg4NDc7ODY7ZUBpMzY4aXk5cnltcTMzZzczNEA0Ni4uYjFjNjUxNTYvNjFhYSNqLy5mMmRjcWFgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711749171&l=20240327215145AA70713242448002CB02&ply_type=2&policy=2&signature=3115973f64760ad3af587e6ca1465814&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711576305.1800902, 1711576305.180414, 1711576306.352829, 1711576306.365844
2,v12044gd0000cn1n8qfog65gt8kh2c80,14,1243915&667825&653582&576414&469710,v12044gd0000cn1n8qfog65gt8kh2c80&v12044gd0000cn1n8qfog65gt8kh2c80&v12044gd0000cn1n8qfog65gt8kh2c80&v12044gd0000cn1n8qfog65gt8kh2c80&v12044gd0000cn1n8qfog65gt8kh2c80,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/osQIw4iPkC6VYDpHCio0dJwIBfASiBQMRALybE/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2428&bt=1214&cs=0&ds=6&ft=4KJMyMzm8Zmo0ebCF-4jV1DVdpWrKsd.&mime_type=video_mp4&qs=0&rc=ODo5OTxpOjo6NjhlPDQ0M0BpM2ZrO2o5cnRxcTMzZzczNEA2LmA0YTQvXjMxL2BiMWNhYSM1L2hxMmRjNS5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711749120&l=20240327215145AA70713242448002CB02&ply_type=2&policy=2&signature=18ef7d46f8163a168a0f8638850eb309&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&14&24&28&25, 1711576305.1800902, 1711576305.180414, 1711576306.352829, 1711576306.365844
3,v12044gd0000cnd8uovog65rt1070qng,5,1901468&1812471&1078498&878022&852643&579653,v12044gd0000cnd8uovog65rt1070qng&v12044gd0000cnd8uovog65rt1070qng&v12044gd0000cnd8uovog65rt1070qng&v12044gd0000cnd8uovog65rt1070qng&v12044gd0000cnd8uovog65rt1070qng&v12044gd0000cnd8uovog65rt1070qng,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oUgqRAH7jSHtAfGLoL9GeqXQ87vIHIEAkBRJCf/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3538&bt=1769&cs=0&ds=6&ft=4KJMyMzm8Zmo0ebCF-4jV1DVdpWrKsd.&mime_type=video_mp4&qs=0&rc=NDw2aGY5MzlpM2U5OmVkPEBpanQ6NHU5cnI7cTMzZzczNEA1MjBhYC5iX18xYl40YDM0YSNrLS1xMmRzcmFgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711749111&l=20240327215145AA70713242448002CB02&ply_type=2&policy=2&signature=86e14ba2986dfc94fd90aa6c36f9a96a&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711576305.1800902, 1711576305.180414, 1711576306.352829, 1711576306.365844
4,v12044gd0000cmfut6fog65vsta42n2g,7,751983&580825&409503&406507&368907&304672,v12044gd0000cmfut6fog65vsta42n2g&v12044gd0000cmfut6fog65vsta42n2g&v12044gd0000cmfut6fog65vsta42n2g&v12044gd0000cmfut6fog65vsta42n2g&v12044gd0000cmfut6fog65vsta42n2g&v12044gd0000cmfut6fog65vsta42n2g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/oszQxkuqHG7PikCfEKLsA0IIjAf2UlzeIlCLE9/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1468&bt=734&cs=0&ds=6&ft=4KJMyMzm8Zmo0ebCF-4jV1DVdpWrKsd.&mime_type=video_mp4&qs=0&rc=OjZpNjY1N2ZkOjo2NGVoOEBpanE3d3k5cjl4cDMzZzczNEBfXjAzYTFfXzAxMV80LmFfYSMvL15wMmRjcWNgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711749113&l=20240327215145AA70713242448002CB02&ply_type=2&policy=2&signature=08835fe14b7fb62b736c2a76bbbab4c0&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711576305.1800902, 1711576305.180414, 1711576306.352829, 1711576306.365844
5,v12044gd0000cmm6opnog65m5stjo920,73,1582610&1069663&1046822&847876&588576&434887,v12044gd0000cmm6opnog65m5stjo920&v12044gd0000cmm6opnog65m5stjo920&v12044gd0000cmm6opnog65m5stjo920&v12044gd0000cmm6opnog65m5stjo920&v12044gd0000cmm6opnog65m5stjo920&v12044gd0000cmm6opnog65m5stjo920,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/ooZZu4x7OssUZQQLiiSvaEIE2sbzJ8BBJAEEg/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2088&bt=1044&cs=0&ds=6&ft=4KJMyMzm8Zmo0ebCF-4jV1DVdpWrKsd.&mime_type=video_mp4&qs=0&rc=aGQ3ZzxpOzw4ZmYzO2loN0BpMzxtdnA5cnM5cDMzZzczNEA2YDZgYTYwNmIxNDFgMWFeYSMvbHEyMmRrbGpgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711749179&l=20240327215145AA70713242448002CB02&ply_type=2&policy=2&signature=d8ce2933e4605c0a2ea175510d74ff70&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711576305.1800902, 1711576305.180414, 1711576306.352829, 1711576306.365844
6,v15044gf0000cnsd0qnog65sbfcuq390,69,1939066&1737270&996657&910809&797962&653661,v15044gf0000cnsd0qnog65sbfcuq390&v15044gf0000cnsd0qnog65sbfcuq390&v15044gf0000cnsd0qnog65sbfcuq390&v15044gf0000cnsd0qnog65sbfcuq390&v15044gf0000cnsd0qnog65sbfcuq390&v15044gf0000cnsd0qnog65sbfcuq390,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c002-tx2/o4M4jLcteD7EI01NIAIeG4BfqPkAPFQDgaqCkN/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3392&bt=1696&cs=0&ds=6&ft=4KJMyMzm8Zmo0ebCF-4jV1DVdpWrKsd.&mime_type=video_mp4&qs=0&rc=ODk3NDs3ZjNnZmQ0Ozg1OUBpMzZ4aXY5cnRncTMzaTczNEBhYTMvYTUtNjMxYjJjM15eYSM2bmBfMmRrLXBgLS1kMTJzcw%3D%3D&btag=e00090000&expire=1711749175&l=20240327215145AA70713242448002CB02&ply_type=2&policy=2&signature=6be9acfe1644775f0408b603e5450df7&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711576305.1800902, 1711576305.180414, 1711576306.352829, 1711576306.365844
7,v12044gd0000cmiua1vog65l2qbccllg,53,1697208&1211747&1128343&960770&604606&428985,v12044gd0000cmiua1vog65l2qbccllg&v12044gd0000cmiua1vog65l2qbccllg&v12044gd0000cmiua1vog65l2qbccllg&v12044gd0000cmiua1vog65l2qbccllg&v12044gd0000cmiua1vog65l2qbccllg&v12044gd0000cmiua1vog65l2qbccllg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oUpilAGPvpQ3biEyy0ifBAwqV5IwKrIFIHB1CD/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2366&bt=1183&cs=0&ds=6&ft=4KJMyMzm8Zmo0ebCF-4jV1DVdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZTc4N2Q6M2hkPDpkZDk7aUBpam9mdG85cjR4cDMzZzczNEBfLTVhXi9eXjExMTY1Yy42YSNpYF8vMmRzXmZgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711749159&l=20240327215145AA70713242448002CB02&ply_type=2&policy=2&signature=2d610c75c557f93d2028a25e2f50084a&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711576305.1800902, 1711576305.180414, 1711576306.352829, 1711576306.365844
8,v12044gd0000cndu2avog65qik5ur8l0,61,2158578&1956650&1288020&1054193&1041611&717651,v12044gd0000cndu2avog65qik5ur8l0&v12044gd0000cndu2avog65qik5ur8l0&v12044gd0000cndu2avog65qik5ur8l0&v12044gd0000cndu2avog65qik5ur8l0&v12044gd0000cndu2avog65qik5ur8l0&v12044gd0000cndu2avog65qik5ur8l0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/ocuv4fnlBE7jqb6CAtiQSTRVoBfslPDIiMgQE2/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=4214&bt=2107&cs=0&ds=6&ft=4KJMyMzm8Zmo0gbCF-4jV9-sdpWrKsd.&mime_type=video_mp4&qs=0&rc=NGk1ZjY5NzZlZ2U0PDk1NEBpMzt4bnQ5cmR4cTMzZzczNEA0MDUvXy4vXmIxM18vNC40YSNpbzJmMmRzL2FgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711749169&l=20240327215147FBBFB69EDC71C102A882&ply_type=2&policy=2&signature=754c2fb9a928a954746b721fc9a7bfd4&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&2&14&28&24&25, 1711576307.659173, 1711576307.659778, 1711576308.758715, 1711576308.8251579
9,v12044gd0000cmu3v8fog65rt11hip3g,12,1615704&1326758&734520&701713&510472&482304,v12044gd0000cmu3v8fog65rt11hip3g&v12044gd0000cmu3v8fog65rt11hip3g&v12044gd0000cmu3v8fog65rt11hip3g&v12044gd0000cmu3v8fog65rt11hip3g&v12044gd0000cmu3v8fog65rt11hip3g&v12044gd0000cmu3v8fog65rt11hip3g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oIHR7viaMC6QR8SAEEfQQWgIBfAYiDQZZBblDE/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3154&bt=1577&cs=0&ds=6&ft=4KJMyMzm8Zmo0gbCF-4jV9-sdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZDU4NTo3ZzlpNWY8OTU1ZEBpanNrNHU5cjs2cDMzZzczNEA2MS5jNGFhNS4xNF8yNWFhYSMwZi5xMmRjc3JgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711749120&l=20240327215147FBBFB69EDC71C102A882&ply_type=2&policy=2&signature=fb9773abf5912889c30adf95b61c2c1a&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1711576307.659173, 1711576307.659778, 1711576308.758715, 1711576308.8251579
