seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,oUMuQfBlDg6IE3RKpEANfaZAFzsD4FzQtS9qTE,12,710782&566518&450724&426827&284372&210967,ool47zs1ECtlBeMEIzBiCDAXQRFPJSfuQgTDQE&oUMuQfBlDg6IE3RKpEANfaZAFzsD4FzQtS9qTE&oc9IgP4QMTPqDelKuFtzEKENFDzUfFAZRVBQHS&oEETezQgS7AFKEtqv7RZz4fuRQDrDBFI9URlMF&ocdDFBTMtEzKsDQiIGsGEflzS14TlEAuQDeRgM&oEsiRtlqlIS9EoDz1B4F3vQEETDEMcAezgfOGu,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oUMuQfBlDg6IE3RKpEANfaZAFzsD4FzQtS9qTE/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1106&bt=553&cs=0&ds=6&ft=4KJMyMzm8Zmo0v3a1-4jV-ebdpWrKsd.&mime_type=video_mp4&qs=0&rc=NTk1Ojs1NjUzPGY2PGRoZUBpamY6OHM5cmZncTMzZzczNEAuMWE2NmEzXmIxMi8wLmAxYSNmcW1nMmRzNWVgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712078897&l=20240331172804570949D494D9605E6C59&ply_type=2&policy=2&signature=37c62164405c150c3b75667e98ed8676&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711906084.617619,1711906084.618078,1711906085.596257,1711906085.59683
1,osUAU4DgE0ciS8IBij7iEj2PuB3QtV7HmZOUD,13,1876771&1785480&1258519&1070898&1058283&799242,osUAU4DgE0ciS8IBij7iEj2PuB3QtV7HmZOUD&osHdUpgzfAQfSJWhgDRlvnBEpEDSFE6aptFIs2&oYmegoCLHAVRfejIIQhV8ASAdpkMnXaSak1pOI&oQVU7tUiBcAiP70BSExmjOn3BZEUIt4gmQciU&ooZV0QW3YIUEU7Ewc4qiUgj7BPitPBiOBk8AS&ogEgBiqPSAQi7jUEZV7ZcBUO0UiItmB4UzH3l,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/osUAU4DgE0ciS8IBij7iEj2PuB3QtV7HmZOUD/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3664&bt=1832&cs=0&ds=6&ft=4KJMyMzm8Zmo0v3a1-4jV-ebdpWrKsd.&mime_type=video_mp4&qs=0&rc=N2Q4PGhpZjg5Zmg1Ojs2aUBpM25oZ3U5cm9ncTMzZzczNEBhNi4uXmE2X2IxYWIyLi02YSNlbnBeMmQ0MTRgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712078898&l=20240331172804570949D494D9605E6C59&ply_type=2&policy=2&signature=17de02c4a56a79b560064d5b9a603010&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711906084.617619,1711906084.618078,1711906085.596257,1711906085.59683
2,oEfE5nAq9AiiqmhIQEZG4hAaNiNAwyg7BCIsi3,145,2170188&1913535&1194747&952732&940676&652993,ossuIpeGqgitjkLIL0eEf22cZCjAPI0JLCWDRA&oEfE5nAq9AiiqmhIQEZG4hAaNiNAwyg7BCIsi3&ocTiqNyEs7NBGAq6AAqKnfi4iCAI7Q94ghZiUI&ocgb3BCfRlEcfVEZBUDsyaFO9FH7AAxQFF6gIE&oUmiRNyEs7NBqAq5AAqvnfixiCAInQ94RhZiQI&o8DCZDi9NIBkA4QANhTAf7iiysE6IXqiqLun5A,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-pve-0068-tx2/oEfE5nAq9AiiqmhIQEZG4hAaNiNAwyg7BCIsi3/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3736&bt=1868&cs=0&ds=6&ft=4KJMyMzm8Zmo0i3a1-4jVK~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=PDU7Nzo0OWloODM8ZTdpNEBpamc8aHI5cjNocTMzaTczNEAxLTYtLmJjXjQxLzEuY2E0YSNkZnFlMmRjYWpgLS1kMTJzcw%3D%3D&btag=e00090000&expire=1712079032&l=20240331172807EAE487FAF648A2557A2B&ply_type=2&policy=2&signature=4db9a7e9ff068d0b1017d41eda5465ee&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711906087.162836,1711906087.1643388,1711906087.928653,1711906087.940588
3,oMeaDf2RIE9kIeLmjgLAFCNrQvjyAij6lHyI9u,76,478927&467668&325335&255562&246048&186117,owtHewDHFImRaMrTvjf6ACjIj29QIkgfALyNiE&oMeaDf2RIE9kIeLmjgLAFCNrQvjyAij6lHyI9u&oEe9my0jDIGN612eAjFgkZjRmCfELFHQEvANIa&oUmyLHE2eQDxAeARIpWICgN1dkFOjazEnChjfV&osHRe2QdIEze5BCHylLI1D8CaEcNkxPfAAjFyj&oolI9EdDAzBCeexFfsLjHQA2Ij1N8aEYyR2uzk,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oMeaDf2RIE9kIeLmjgLAFCNrQvjyAij6lHyI9u/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=912&bt=456&cs=0&ds=6&ft=4KJMyMzm8Zmo0i3a1-4jVK~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=aGk2NjQ3ZjszPGQzZGg6OEBpam11c3U5cjdzcDMzZzczNEBhNWE0MDMvNV4xNTNhMzNfYSNiMGs1MmRjY25gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712078963&l=20240331172807EAE487FAF648A2557A2B&ply_type=2&policy=2&signature=09adceb12a29a16d0dece1ee8eaa0623&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711906087.162836,1711906087.1643388,1711906087.928653,1711906087.940588
4,o0hfgF8EEELIgt1UoWfPYRMARqnSlDSRDQBdBy,76,2053228&1928864&1407483&1141991&945363&653292,o8pIAEWQ5imDOfXwOLgZRQIltGfxepAAGgFeGI&o0hfgF8EEELIgt1UoWfPYRMARqnSlDSRDQBdBy&o0PMPfQYIEgRZzMDohlEWDwB1E8nSU4fgA8FrR&okgKUEoRlDdvhgMfADBJLaz1FQPISEfRtEn8WY&oo8QgDfE4g1clMYS8EBPRUA7InIrFREpDf7ohW&oggARLWIGIOepezwhAggjIeWQA5XifGdAZcOLF,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/o0hfgF8EEELIgt1UoWfPYRMARqnSlDSRDQBdBy/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3766&bt=1883&cs=0&ds=6&ft=4KJMyMzm8Zmo0i3a1-4jVK~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=NTlkZGk1MztpM2Y7NDpmO0BpMzM4PHk5cm07cTMzZzczNEAxNjQzMGNhNTExYF4zNjUxYSNgNm5yMmQ0NF9gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712078963&l=20240331172807EAE487FAF648A2557A2B&ply_type=2&policy=2&signature=e1d39996948d44b196ced222fdabce82&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711906087.162836,1711906087.1643388,1711906087.928653,1711906087.940588
5,o4VB2JNAXYtDNneZMK4RM3fYExEFZiElAIbE4G,61,198457&145517&103617&93471&71985&63149,o0tZYlNnE4xYAF5P4QVIdAEiF3B2BbDeEEYfRx&ogWqEbVREE0YnXD4EBAFx2PIIfitl3EBNQYeZA&o4VB2JNAXYtDNneZMK4RM3fYExEFZiElAIbE4G&osiONDYQ29FYE23fEA9ZbVlPifRx2AlIEIbBVg&osfEbixMQO9EVQ2BiZHDfE2RY3AFQMYA6Q5lIb&ocAsEEMlVE3HaREEYbZfBFi2DDVEnYIexi4tNA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c001-tx2/o4VB2JNAXYtDNneZMK4RM3fYExEFZiElAIbE4G/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=202&bt=101&cs=0&ds=6&ft=4KJMyMzm8Zmo0t3a1-4jVV.WdpWrKsd.&mime_type=video_mp4&qs=0&rc=MzVkNzhkMzs7MzhpNDg2N0BpamtxbXg5cmdycTMzaTczNEBgX2MuLzYwXjIxNjE0Ml9fYSNhZWFnMmRzYGBgLS1kMTJzcw%3D%3D&btag=e00090000&expire=1712078968&l=20240331172826FB974F0DB395EE555E7C&ply_type=2&policy=2&signature=800cb2c197f8f3581a10d0b85b31434f&tk=tt_chain_token,adapt_lowest_1080_1&adapt_lower_720_1&normal_540_0&adapt_540_1&lower_540_0&lowest_540_0,2&14&20&28&24&25, 1711906106.239031,1711906106.23966,1711906107.172746,1711906107.1740391
6,o8JEQEwDgyeBwTVFf2lRBFAoQ9zIT8Iuy2YvOU,20,142074&126238&86290&76081&67539&63173,osf2ToLwQEywgBIBySlEmD1B8IWIUVzfgA9FXR&o8Ewz2QgULAFwEySXeRyo8fIWTDpBB5IVJsl9m&oQ2yaKgOYEdOeYklAYDqEJIzfTEzKBBU5DoR8F&o8JEQEwDgyeBwTVFf2lRBFAoQ9zIT8Iuy2YvOU&oUJEWEYDg5pBYTKFfblRBCAoIezkT8ESy2VTTU&osXBTTDaF8y28JzoeRZwABVE9owQIUEfglyINE,https://v16-webapp-prime.us.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/o8JEQEwDgyeBwTVFf2lRBFAoQ9zIT8Iuy2YvOU/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=148&bt=74&cs=0&ds=6&ft=4KJMyMzm8Zmo0t3a1-4jVV.WdpWrKsd.&mime_type=video_mp4&qs=0&rc=N2lmZjM7NDk2PDUzOzc1Z0BpM3MzPG45cndscTMzODczNEA0LWJjL2IvNTUxMzEuMy0wYSNgaTBjMmRrNm1gLS1kMTFzcw%3D%3D&btag=e00088000&expire=1712078927&l=20240331172826FB974F0DB395EE555E7C&ply_type=2&policy=2&signature=4e759c3261585c5105ddd4710ea7291f&tk=tt_chain_token,adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&normal_540_0&lower_540_0&lowest_540_0,2&14&28&20&24&25, 1711906106.239031,1711906106.23966,1711906107.172746,1711906107.1740391
7,oID3DmBdIiATErA2UQipcrCBB49pfIr3yrFqwt,7,1743994&1575493&1074492&862436&766109&636267,oAXcvAvf6SgZXEIlNtFfDBgTaW2NmoQHRDDwE7&oID3DmBdIiATErA2UQipcrCBB49pfIr3yrFqwt&oYIC3iyD9AztBrBREfgIRpPwiXrrU24d3aTAII&osfEvtFtaQDC7wZAmoYgfXEHlvIARFXDSXK6WB&oAD3dEBdIiATEKA2ULipCrCRB49PfIr3yrHKwt&oM4vpqT2qW6BAAgese9u6ReYFJ2h3hGebAIAKO,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oID3DmBdIiATErA2UQipcrCBB49pfIr3yrFqwt/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3076&bt=1538&cs=0&ds=6&ft=4KJMyMzm8Zmo0.na1-4jVhG.dpWrKsd.&mime_type=video_mp4&qs=0&rc=ZGloZGQ6Omc7PGU5PDw7O0BpM2dpdHI5cmh0cDMzZzczNEAuYTEyLzFiX2MxYzMvL2EwYSNeY3EuMmRzZ29gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712078923&l=2024033117283641CE91A7E57EE4553F15&ply_type=2&policy=2&signature=e26986147f5835a3f0b52b9e49348e3e&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711906116.161298,1711906116.161859,1711906117.123756,1711906117.12494
8,oAxie87EccrcgI4QMCFLAfvDAukADHA4fv4ESr,8,1734908&1062088&990607&736430&599481&562893&429291,oAxie87EccrcgI4QMCFLAfvDAukADHA4fv4ESr&oUu7TgkDLCArxWSFECHvfAQ8EHcjf4NAcrIYHe&ooLbHVHDBegSsefilEkHCkvfiBeef1CkZA8fX35&ogX7Ik3eeDABgOt7SvFrHrLLXEJAYC14EOfTxE&oABxrLhe4nOEEgqLHAE8Yr7feOjAmFIDJJkC3v&o8L4aNfhAjCLl3AWKwfvyfpfAuejBBFPiBxyfxe&o8ajyBfAKL3Hfwkf2jteipfABFyWBxvvfxANBeM,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/oAxie87EccrcgI4QMCFLAfvDAukADHA4fv4ESr/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3388&bt=1694&cs=0&ds=3&ft=4KJMyMzm8Zmo0sna1-4jVA-ZdpWrKsd.&mime_type=video_mp4&qs=0&rc=OTs7ZjU0NTQ6OGQ4ZTU5NkBpanJyNm85cnlxcTMzZzgzNEA1LzU1YmNjXzYxXjBfYC1eYSNvZmVzMmRrcmxgLS1kLy9zcw%3D%3D&btag=e00088000&expire=1712078930&l=202403311728411843951D55D89F5CEA0A&ply_type=2&policy=2&signature=c207541c71335013b93e3d500497598e&tk=tt_chain_token,normal_720_0&adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,10&2&20&14&28&24&25, 1711906121.2016692,1711906121.202375,1711906122.191385,1711906122.21354
9,oYDe5EwQaEmeoFmI5kZfbDxAnBoNCjAH7LI5AH,275,1587707&1246298&1096350&905444&633159&453879,oUel7ABa5kQgDEELbeFfHCAn5noGaNIHj0DwIo&oYDe5EwQaEmeoFmI5kZfbDxAnBoNCjAH7LI5AH&ow4DCfAAPpifcBIuzfgBITC8fWBfqefByRkmwni&oIEDLeQwbDo5ICNHTsaHYBtAEjk475dIeAfFjm&ooJaIkNHoDA8leUBx5FwHjLQvIBA5CueEDf27E&ogPHa5D3FO5oel7l5jKNACBIHwDIEkQfAL5eVE,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/oYDe5EwQaEmeoFmI5kZfbDxAnBoNCjAH7LI5AH/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2434&bt=1217&cs=0&ds=6&ft=4KJMyMzm8Zmo0Dna1-4jVo-sdpWrKsd.&mime_type=video_mp4&qs=0&rc=aWgzOTQzO2kzaTM4O2U2PEBpanNmeXI5cmRzcTMzZzczNEBeY2I1MDZhXi8xLl5jLjUwYSMzMGQuMmQ0YXFgLS1kMS9zcw%3D%3D&btag=e00098000&expire=1712079201&l=202403311728460C334DE12FD1005592B5&ply_type=2&policy=2&signature=58c7b5f764599b84bfab56c75a37639e&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711906126.208684,1711906126.209323,1711906127.28106,1711906127.381803
