seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,o0LXfGxLrA6GIC1gIfqDmjNCqtseIp0IIWOAQG,13,2183066&1900927&1041624&800526&795679&533750,oIsceXCjqMLeroIXOAOVAbaMg8E1tFIQmeRFDA&o0LXfGxLrA6GIC1gIfqDmjNCqtseIp0IIWOAQG&ocrAOCIDJrGDjhACXWXGLIsIefqgOLIIO0Q1qe&o41WIWLrAXfjAQ0fLCIWquLjIGIsqDeNCCgOGl&o8LIVEHoAAr1ErfBRFfVhlDBjB12HEEDDSa6QW&ocQbqjCLXrsNXLGdfOWGfAbIqCIeA1W40IjqID,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c003-tx2/o0LXfGxLrA6GIC1gIfqDmjNCqtseIp0IIWOAQG/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3712&bt=1856&cs=0&ds=6&ft=4KJMyMzm8Zmo0SxdC-4jV~DidpWrKsd.&mime_type=video_mp4&qs=0&rc=Ozk2ZDk2ZDU6N2k5NDg1Z0BpajQ7b3k5cng0cTMzaTczNEAzYTNeY2I2Xl8xMzAwXl8yYSMwM19pMmRraV9gLS1kMTJzcw%3D%3D&btag=e00088000&expire=1714249329&l=202404252021556E29A6A283077C060D2C&ply_type=2&policy=2&signature=5a87f1deee368b0fca05210b7c9b7b00&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1714076515.228736,1714076515.2289972,1714076516.880522,1714076516.9020002
1,owGO3mewQLAlLLHI2uACAJkfI7EHLIeAjX3jAo,70,1162321&903357&725992&558339&465266&339561,ognQkIG2AAwBHOABjLe8lLGCFT7eeIIuNcWJgx&owGO3mewQLAlLLHI2uACAJkfI7EHLIeAjX3jAo&oMeLrXj3IwG7L3MILMLwJIELHfGeEACAlAQkOA&oIDHwHGULEAJ7M3LrjTfACXIOALIEkQeALleaI&okkGfDW5IPpQEmLALGAALLleOwAjCJI73IHCeX&ocILzJIAk7ALfIlL3ajAA7ee1wG2HCCEXQlLO3,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/owGO3mewQLAlLLHI2uACAJkfI7EHLIeAjX3jAo/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1764&bt=882&cs=0&ds=6&ft=4KJMyMzm8Zmo0SxdC-4jV~DidpWrKsd.&mime_type=video_mp4&qs=0&rc=aTllZjdpNGY4NTs7NmQ6ZkBpajNwdWo5cjRscTMzZzczNEBeYzQvYGIvXzExXi42LTM1YSNja2wuMmQ0cG9gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1714249386&l=202404252021556E29A6A283077C060D2C&ply_type=2&policy=2&signature=921291bb9fe3f1f7445f01d932e6e9da&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714076515.228736,1714076515.2289972,1714076516.880522,1714076516.9020002
2,oQH6gNgIELDAuSrFhjBSylEMoUmDREgeQP1zfS,61,2194307&1433458&919794&777180&758206&570027,osfyhpIOCkB3G6uiJFimFICQBwQJEwA0QZQpTA&oQH6gNgIELDAuSrFhjBSylEMoUmDREgeQP1zfS&o4EBy3Q0gGFQCAwTkEmBcpuAiapD6ZGIJwfiIF&os1CwfQ6pwXIB5FEQG0iAFApEB3iI1wJyZmTrq&oQ5SDNfDSQo5RSlEmJCgluzh0BfAqEMFFgLLIg&owLfEm4ugMoRAQNqlIIdS2FGESD0ShfJBzggDV,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oQH6gNgIELDAuSrFhjBSylEMoUmDREgeQP1zfS/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2798&bt=1399&cs=0&ds=6&ft=4KJMyMzm8Zmo0SxdC-4jV~DidpWrKsd.&mime_type=video_mp4&qs=0&rc=OmU8NzRnNDtkZjk5Ojw4ZkBpM3N0bG45cjU0cDMzZzczNEAxMGM1MjQzXjMxNF82Ni1hYSNsZjU2MmRzM3FgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1714249377&l=202404252021556E29A6A283077C060D2C&ply_type=2&policy=2&signature=bece5fbe4b2be1895ddfeaf59e4f2bb1&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1714076515.228736,1714076515.2289972,1714076516.880522,1714076516.9020002
3,o4hRySgiQIuajSCOffXR5GlF8IHfI61eAAdL3G,12,953500&548767&541532&422819&417441,o4hRySgiQIuajSCOffXR5GlF8IHfI61eAAdL3G&okWyKqEX8AfqO6RoQk9ffGfFIiz8hlr0R7JAAM&oweXD6GPREG8a5dIUfLyRQoyOi0fIAFSfuZIdA&oseX56GHRPG8a52IRfLyRQWxOiKfIAFSfuUIdA&ogiGS8Ina5dAW5IlRfyRfyAQGeAKLOTu6F7XfI,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/o4hRySgiQIuajSCOffXR5GlF8IHfI61eAAdL3G/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1862&bt=931&cs=0&ds=6&ft=4KJMyMzm8Zmo0SxdC-4jV~DidpWrKsd.&mime_type=video_mp4&qs=0&rc=NjY4PGg8ZWhnZWQ2Zzk5Z0BpanFvcW45cmxpcTMzZzczNEBjYC42YmBeX18xLmM0Ni1jYSM1bnFnMmQ0cHJgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714249328&l=202404252021556E29A6A283077C060D2C&ply_type=2&policy=2&signature=d3459c744bc1f4e179b29400d13675eb&tk=tt_chain_token,normal_540_0&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&24&14&28&25, 1714076515.228736,1714076515.2289972,1714076516.880522,1714076516.9020002
4,ocgEJ5FJ5QD88oXAsUlAfaEEmNI9Re9EVrSpOB,5,1133028&638960&608497&478636&464807,ocgEJ5FJ5QD88oXAsUlAfaEEmNI9Re9EVrSpOB&o8NaAJDNtImWFBJskVfBRE8TSo5yOpE9AEEUfQ&owte5wEIQEAm8XJfanFVmAkJUKs9QEAEDBpRMo&oQsEoAfaVJEFqnR4E8AeIkFEzZA8HmmJDFEpBc&oEEkdJD8IFAsEHBJqEEV3nE2EopOfRemmaK8A8,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c004-tx2/ocgEJ5FJ5QD88oXAsUlAfaEEmNI9Re9EVrSpOB/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2212&bt=1106&cs=0&ds=6&ft=4KJMyMzm8Zmo0SxdC-4jV~DidpWrKsd.&mime_type=video_mp4&qs=0&rc=NTNlN2ZoNjw8NTVoOWc5Z0BpM3Z0Nm45cmk8cjMzaTczNEAtMzYvLV82NWIxNmMzMl41YSNpNl8uMmQ0amdgLS1kMTJzcw%3D%3D&btag=e00088000&expire=1714249321&l=202404252021556E29A6A283077C060D2C&ply_type=2&policy=2&signature=e6ccbbe798d6d701c597c32e113512d0&tk=tt_chain_token,normal_540_0&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&24&14&25&28, 1714076515.228736,1714076515.2289972,1714076516.880522,1714076516.9020002
5,oYYOIIiZCgqqJvbJiNBAEq5xIByAFAvCYIiufk,12,799321&748839&545014&509016&295551&225236,o4g5SL6IOCiEeAjCE4RAeLIIqKG68kAAGegr6q&o8IJEQiJIFu5A3ByBibWfvdgIqxCqiBAqOIgAM&oYYOIIiZCgqqJvbJiNBAEq5xIByAFAvCYIiufk&oEcIQeiJ6AFjGgfIY4EIArCqFIkLQVyCLeqGgL&ocdHvifiDA5YyqIqBEAqIOAIQgISiuCNBx7IFJ&owuJqvA5fAIOkqjaFBIygYAIFiiqiCxOBIhEvx,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c003-tx2/oYYOIIiZCgqqJvbJiNBAEq5xIByAFAvCYIiufk/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1064&bt=532&cs=0&ds=6&ft=4KJMyMzm8Zmo0SxdC-4jV~DidpWrKsd.&mime_type=video_mp4&qs=0&rc=aTs0aDM8NzdnMzk1aGhmOEBpM2lycms5cm9rcTMzaTczNEA0MC8yYWJgNjIxNmNiLzVjYSMxcTItMmRjXjFgLS1kMTJzcw%3D%3D&btag=e00088000&expire=1714249328&l=202404252021556E29A6A283077C060D2C&ply_type=2&policy=2&signature=48a37c8b8e5d114acbe996cc3a25dde2&tk=tt_chain_token,adapt_lower_720_1&adapt_lowest_1080_1&normal_540_0&adapt_540_1&lower_540_0&lowest_540_0,14&2&20&28&24&25, 1714076515.228736,1714076515.2289972,1714076516.880522,1714076516.9020002
6,osICCiygTACZBFB9EfCnapQwiAd5q423HPsAIr,15,1836416&1310997&1000894&993313&637381&463308,ocMmgIIGgDeOdaeA3XdJRmoRfNLGkGACUfFbzA&osICCiygTACZBFB9EfCnapQwiAd5q423HPsAIr&oov4pI3EBF2sTAdZwifxAgQ1Hig5ByBC82qIvC&oIB0Z3iEIBwy3O4f5dipC23HqwsFLCAgBATIQ2&oYCVzLEIQDglvswfydFSCafOUsZKWEABDBnRgt&oYfFCv3ABNAi7Hwg2cBZpyEr4InsYdIvTiqCb5,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/osICCiygTACZBFB9EfCnapQwiAd5q423HPsAIr/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2560&bt=1280&cs=0&ds=6&ft=4KJMyMzm8Zmo0SxdC-4jV~DidpWrKsd.&mime_type=video_mp4&qs=0&rc=NDo2aDo0aWZnNWczZWVkNEBpM3NuaHA5cnU6cTMzZzczNEBeMGFjX15hNWMxYDE1MjAyYSNpYjVkMmRzYC5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714249331&l=202404252021556E29A6A283077C060D2C&ply_type=2&policy=2&signature=e83453256b177b9fee7329ebb7ff79be&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714076515.228736,1714076515.2289972,1714076516.880522,1714076516.9020002
7,ogj5SIAED2XXyBJkgEfxAaQmvFHeClDEhw3RMn,16,1360295&1100953&904052&760241&573570,ogj5SIAED2XXyBJkgEfxAaQmvFHeClDEhw3RMn&o4IjukLAkfuPcBuOGHQfJzLnQEgCaAegITIN7r&osDeBlyBHvXEEjFR4kEQz6AS2Jgf3Awnur5I0D&okjHcHBaAg6IJgiLukkLIufzQC7e7CqOfAGTIP&okFXxBRl5AzvDkAQEweyPRJBSXnfEs2GEH3gID,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/ogj5SIAED2XXyBJkgEfxAaQmvFHeClDEhw3RMn/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2656&bt=1328&cs=0&ds=6&ft=4KJMyMzm8Zmo0SxdC-4jV~DidpWrKsd.&mime_type=video_mp4&qs=0&rc=ZGVpZzw6Nzk5aTw0NDdlOkBpajd0eXI5cmpscTMzZzczNEBfLjU0YTE2NjIxMi5fXjMyYSNvc2ouMmQ0X2dgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714249332&l=202404252021556E29A6A283077C060D2C&ply_type=2&policy=2&signature=eaf2f7758ecc579de8473f57806ae621&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1714076515.228736,1714076515.2289972,1714076516.880522,1714076516.9020002
8,oooASQUID6rQ2BysgEfcA7gcrFp8CmDEa6QReG,15,684618&634888&356082&350880&318563&262669,oooASQUID6rQ2BysgEfcA7gcrFp8CmDEa6QReG&owfdDGUADQBEIVgp6ZD2SmEdAIBQnZRJ2FIEoe&oQBlAZ2A6FYMpE2KImED6OfIEA48gQdeDSDUVR&ocsFQEBrQ2RSwQEU2f6pDI26mZeZ8DClAUEgAD&ogIaWRBmvADZQFVS6IoDYgJES2DfAUpTdEHeE2&o4IVoRBmMADZQFVb6IoDOgHES2DfAUp9dEgeE2,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/oooASQUID6rQ2BysgEfcA7gcrFp8CmDEa6QReG/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1336&bt=668&cs=0&ds=6&ft=4KJMyMzm8Zmo0ixdC-4jVM4VdpWrKsd.&mime_type=video_mp4&qs=0&rc=NGc0N2Q1Zzk3ODhlPDM8NkBpM3BvaXc5cjhwcjMzZzczNEAxYC1jMDUvNjYxMC4wYmJfYSMxX2deMmQ0NS5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714249334&l=202404252021578DF7492D1FEAD305870F&ply_type=2&policy=2&signature=8996ae8bc11814e4a2def2f1abd6716a&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1714076517.703664,1714076517.704545,1714076519.237052,1714076519.2426329
9,o0MOPuX7APGvIBURLTAfegRG5AWIeGYFIpeWLZ,7,4159815&3558961&1859942&1589234&1568011&999069,o4idxDIyfAb2BLwQi2OyXInApV8PEZzhCVywIB&o0MOPuX7APGvIBURLTAfegRG5AWIeGYFIpeWLZ&owB6QPLOBBPyilzCw8inyKIsfApEVy2w2SI1dA&oAJIdfgfqFskACksnLsAjGAC3EQ4fHXDI8nlup&o0XIpEn9wAdDBV2LIiPOyyBAMBfVyiC2qVzwQ8&o4iIzTE82jjOCGB2AwPyiVApNdILlm1wByfynC,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/o0MOPuX7APGvIBURLTAfegRG5AWIeGYFIpeWLZ/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=6950&bt=3475&cs=0&ds=6&ft=4KJMyMzm8Zmo0ixdC-4jVM4VdpWrKsd.&mime_type=video_mp4&qs=0&rc=MzQ1NmZoZDtnZWllM2Q0M0BpM2VpbXA5cmo8cTMzZzczNEBgMGJjXy5iXjYxNGJfY18zYSNtYGpeMmQ0b3JgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714249326&l=202404252021578DF7492D1FEAD305870F&ply_type=2&policy=2&signature=5c73f93afd50f7eda23d1b039f3193f4&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1714076517.703664,1714076517.704545,1714076519.237052,1714076519.2426329
