seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,okpIAE0aGMBQXAef3GubufbElyvDRFFfULhQtK,6,1132090&1073651&654003&611806&568038&415722,o4QMZouAel9XSfc3GggVl3LeDL4KCAeoIfi0KQ&okpIAE0aGMBQXAef3GubufbElyvDRFFfULhQtK&ogASgicuoIfgdMxQZc3eKLe3eGg6XegoldVCKA&okUeceX5uegFbKE3KQXQAZMfi3AMxoQgAu8roe&oEUFbjlA2fBDoL0BOGHGbffMRyQF3eEXAQuIKh&o0WQROuuEFALdbKAIGPDUfBKfyeUM0X3hQlfFb,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-pve-0068-tx2/okpIAE0aGMBQXAef3GubufbElyvDRFFfULhQtK/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2096&bt=1048&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=NWc2ZDg6ODlkNTlmZWQ0OUBpanM1dnQ5cjp5cTMzaTczNEBgMy4uYjVeXmIxYTZiLzQwYSNfXmgvMmRzZ2FgLS1kMTJzcw%3D%3D&btag=e00088000&expire=1712074956&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=c3d80ab650bc73fd9998b51f1ccffec8&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
1,okx8Df6aEEcSEPj0pQlgFBewIARIAFRajDNDS4,30,846108&763736&531051&501192&430814&389107,okx8Df6aEEcSEPj0pQlgFBewIARIAFRajDNDS4&o0XESjRzIp6ESN8B0wJDfDaRxaAFQyIgCx1lEe&oMfDxVDtFDoa8jwl3RB0ABjEp6kQISgfglI88E&ogFxPBzl8AuRD0aQE6eIDRjBSGwfEPS1EpagID&ogejUQBalnD0X0SwB6FEgxDaE8ARE0kEIpfRSI&oIwR0BbEREpAPSqf63IQeSDla3aFEDaIBgixj8,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/okx8Df6aEEcSEPj0pQlgFBewIARIAFRajDNDS4/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1652&bt=826&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=M2U1NzRpZjs4Zzg4OmVoO0BpM248aXc5cnA7cTMzZzczNEAwLTAyMjUyNWMxLi8zLWNiYSNhMGZeMmRrbGxgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074980&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=601198fcc83fee7cbd80b6d6ac252bff&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
2,oAmQKKGNLFCrDfHUkG8sAF6RseZQIUgeAXft2I,14,1695924&1562628&924873&803769&625836&573089,o8FLYRF0gwGUeKMrse9ZHRfzXQFfaG2ZDAIAAQ&oAmQKKGNLFCrDfHUkG8sAF6RseZQIUgeAXft2I&oETrKegsQICZ6nDQffXRHGOFDIdtU6TeAAsLGG&owAF0IfzXQuIfFr9AGFyeiWDLAKgUReGKRaZHY&oMfWeAGDYesQcLGzXZFrKAURAg9PFa0REd9fI0&oUygCQeImADKXrsUsIFKG6AaCtQOLZRCGe2ffH,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-pve-0068-tx2/oAmQKKGNLFCrDfHUkG8sAF6RseZQIUgeAXft2I/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3052&bt=1526&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=Zzc4aGk5OWczNDw7aTc8NkBpMzRtOHk5cm95cTMzaTczNEA1MDMxXzFgNTQxLy1hMDIvYSNfbmlfMmRjZi5gLS1kMTJzcw%3D%3D&btag=e00088000&expire=1712074965&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=bab0cfe8d40bf3a3fa25d071cce407a4&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
3,oIGlNg4emAqwKRVcgIF8vXSDrfSHamFEDEBS8E,6,913954&763783&537167&487600&415562&360136,oIGlNg4emAqwKRVcgIF8vXSDrfSHamFEDEBS8E&o0F4H3ClvAnaDHrIEwSFqRZBSa8fEUeJEG8gID&okOfFF4WA0aRiDwHE8XDrG4eGOEEvlHSgGB8IS&o88E0eFvPQDnrwLA44IgfSEGl8IIRA8DSUmFXB&ocFlB8wpEr0F0eXAygsQv4GJR4S8DDJwEfUIPS&oQP4RF4tlQSWE1DwvBvFr94EI8DIGlA0rgfeMS,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oIGlNg4emAqwKRVcgIF8vXSDrfSHamFEDEBS8E/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1784&bt=892&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZTQzNjtoNWk1ODQ0ODU6ZkBpMzpzbHI5cmQ4cDMzZzczNEAyNTAwNTAwNWMxYjA0MzFeYSNyaF8uMmRzcHJgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074956&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=b413df780895487670bd05a44d7773e1&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
4,oMEAVZJvzxcyiBA5IVoCIF3BwisCp8QXmQf2ES,236,784415&754217&641730&624462&415100&308704,o0uCZXif3IBCJ5QAVCJwvXimyxEIIiQBpWQEGA&oMEAVZJvzxcyiBA5IVoCIF3BwisCp8QXmQf2ES&o4IHxyZCNAESXwIX5QEAjiiBVGBD3fQVmvCJmp&ociREpAvEM3IQ8CIJGfymQiVComBXXwBAZ59xA&okHEgLzMQMzESf8BuinDfDERUmAFgcRgXimlIu&oYvyRZIzC5BfQxYiiFiVJItmBCIXEwA5E3QpmA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oMEAVZJvzxcyiBA5IVoCIF3BwisCp8QXmQf2ES/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1472&bt=736&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZWk8aWg3NjQ5Ozk8Ozo0Z0BpM3E0OHM5cjxrcTMzZzczNEBhY2M0NF4xXjQxY18yYGIvYSMuZ25nMmRrXmxgLS1kMS9zcw%3D%3D&btag=e00098000&expire=1712075186&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=ce0d6db6f547cba21b1907090e35f5f2&tk=tt_chain_token,adapt_lower_720_1&normal_540_0&adapt_lowest_1080_1&adapt_540_1&lower_540_0&lowest_540_0,14&20&2&28&24&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
5,o0sgZyULiRQAAiVP4QpIKwBDAcB8AJB1BEMfKa,9,1023631&804087&643758&541497&395761,o0sgZyULiRQAAiVP4QpIKwBDAcB8AJB1BEMfKa&oQSVq4EbZIWqugSUCpy5DagQDfAcFDd0wBelAI&oEf4SQ5IDZOyABD0gEfUAWXFwFWpVlDCJqSV5g&oogJ1iAKpByT8sBZDwzUANM4IfacLNBiXIE9AJ&oUVVOf0pDDflF5ZC5gEDAhQM4BSIWSwgqJVcyA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/o0sgZyULiRQAAiVP4QpIKwBDAcB8AJB1BEMfKa/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1998&bt=999&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=NDNoO2VmOGU1OjlkNTw4NkBpanRtb285cmgzcTMzZzgzNEBhNS0vL15iXzQxNmAzXy8wYSMxZDIyMmRjbWRgLS1kLy9zcw%3D%3D&btag=e00088000&expire=1712074959&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=a27d22e811abbdc4435d1ab5099a9e5e&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
6,o8EesCREQDAf1INAglKgUulPSBFsCNoDBkxWui,26,446166&344922&284774&240183&194592&152959,owfEfADouOdDPFRsllCWsgSEgQyABUVICyiBEP&o8EesCREQDAf1INAglKgUulPSBFsCNoDBkxWui&o02UDsfDSQiCRPlElOEutoCBABDAeEsNFciWIg&oATAHXCQEISUhxCvgai4MWIOFEAbiBZgHqiCB&ogSX0HFA4AEBWBgsmvbhnEixUZi6gqa8IG3Jv&ogAuiFBRSDlNosEsNgUUAl1PQfCWlfDEcdI6BP,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/o8EesCREQDAf1INAglKgUulPSBFsCNoDBkxWui/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=672&bt=336&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=Omk6Omk2ZjplOGZpZTU1NkBpajRyZGs5cjg0cDMzZzczNEA1MzMxLmE2XjAxYzZeYTU0YSNfY2Y2MmRramRgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074976&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=bc70d0ebc433bdb0caea0b200e78b3c6&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
7,oYRBHFDzNfKfO6tizl5oAKS0NnIEEDnFDDMcEg,5,1213496&706355&701261&554493&530623,oYRBHFDzNfKfO6tizl5oAKS0NnIEEDnFDDMcEg&oY0fgtDHZElmFWnHlSfBRiK5z6clMDEFAEDK2I&o841ZLxteACSPeGVIyJoOFIALLjeGaZFOkIQHU&oYDB9nKfu0slFDA6IH4KRMcDgEtES3FfiFtSE0&o4c0RDKjlIStEYD6MBtFCyHEEFDFirAnKgfZzf,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oYRBHFDzNfKfO6tizl5oAKS0NnIEEDnFDDMcEg/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2370&bt=1185&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=N2lnNDdpOTdkODs7PDNkPEBpM3ZwcXc5cmw2cDMzZzczNEBfXjUxNjAzXjAxLi8uNjQyYSMyYmw1MmRrMG5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074955&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=27121ea3cc3d0c97c1860dcb82f012c1&tk=tt_chain_token,normal_540_0&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&24&14&28&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
8,o0icV0ICIBAvSETtNy1wxhN4pAijtJeB0EGrD1,9,806011&772765&538705&410863&296642,ooa4IhiR5xprXtPtBOBAEje1INywJAjCa0iVv0&o0icV0ICIBAvSETtNy1wxhN4pAijtJeB0EGrD1&oIDiVJ4ZIN1CpdeAttTBvBhIjrAiJ10woR2yEx&osZrj1HhIitVbPWB0JyCtBSAeE7xp4cvwANinI&oMeIFeW2sAMedpqAdJSA8KQuL0gzjPvHkdJklC,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/o0icV0ICIBAvSETtNy1wxhN4pAijtJeB0EGrD1/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1508&bt=754&cs=0&ds=6&ft=4KJMyMzm8Zmo0xAj1-4jVVxZdpWrKsd.&mime_type=video_mp4&qs=0&rc=ODRmNmk1N2k8NmQzOTZmZEBpamdxdm85cmVscTMzZzczNEBhYzYtYDBjNWExXzQvYl41YSNkZV4zMmRrNGpgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074959&l=202403311622292215EA4F19BDF6547BA5&ply_type=2&policy=2&signature=64a1fc6edcf0cd358defd204bef00c3c&tk=tt_chain_token,adapt_lower_720_1&normal_540_0&adapt_540_1&lower_540_0&lowest_540_0,14&20&28&24&25, 1711902149.5205429,1711902149.522123,1711902150.531938,1711902150.5335171
9,ooQVCehfjLELbkHLCBDddPFh0mduAAeI1DCCEI,60,654984&463475&395218&388489&232921&184749,oYbcfADuhCDH7FjBL1VePQkIAI9dCC2EEwehEd&okPIIXJhEFA1suQAEjHDkeBdhVCDPeLdzHCfCx&oMCZAFrufFGFqIhgQLED9hfCIvRqAPCEHk6e6j&ooQVCehfjLELbkHLCBDddPFh0mduAAeI1DCCEI&oUVPIkh1eDAlCCB8shFeHjLQLIdAVCZuEBfudE&ogBfhFPgAmdjCDeVEhCHe1VBzEEIuLKkAQCdIC,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/ooQVCehfjLELbkHLCBDddPFh0mduAAeI1DCCEI/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=758&bt=379&cs=0&ds=6&ft=4KJMyMzm8Zmo0pAj1-4jVtBrdpWrKsd.&mime_type=video_mp4&qs=0&rc=aWczZ2gzNjhkaDNpZDQ2OkBpam84ang5cnlqcTMzZzczNEBhYzFfY2JfX2IxNDBeX18zYSNkbmRuMmRrZ2JgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712075012&l=2024033116223217B4BD127C4D7D521060&ply_type=2&policy=2&signature=ac908a0c95221f0342bf1be0e880badf&tk=tt_chain_token,adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&normal_540_0&lower_540_0&lowest_540_0,2&14&28&20&24&25, 1711902152.071572,1711902152.072033,1711902152.971222,1711902152.995501
