seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,osmwRItmlISBECDwiBsF1CnEECDQH0AfWgfuiX,6,1422992&1131102&806086&714263&612770&565376,osmwRItmlISBECDwiBsF1CnEECDQH0AfWgfuiX&owLY1gNPIzRaCfOIQtPijHANajL72keueAFGOI&osiwRlWHsCXEEiiIDAEkmwnfWCkgDFIDJfSBtI&oASnISEDYHfDfw3IilIwEmtE6SF8XRAsCWBQsg&oQOLqsOFOABgOjiDAQLaYikGteuNfiRIHICewI&os5wRljHsqXEEiDoDAE0mwnfWCkgJFIDGfSBtI,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/osmwRItmlISBECDwiBsF1CnEECDQH0AfWgfuiX/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2778&bt=1389&cs=0&ds=6&ft=4KJMyMzm8Zmo0hyj1-4jVrXZdpWrKsd.&mime_type=video_mp4&qs=0&rc=NDQ8N2U2NmhoODc6OzU2aUBpajk4dHI5cm87cDMzZzczNEA2YGMvYy02NTIxM14vYl4wYSNqc3AuMmRrZ2xgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074587&l=202403311616219BD9C3B588444351FC3C&ply_type=2&policy=2&signature=c955780138815c48700a244792349293&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&2&24&14&25&28, 1711901780.911705,1711901780.913388,1711901781.816544,1711901781.817788
1,oIHfCALgWLOuRt4jFsLIAVGLR4AGZedRg0e1If,16,1676095&1492276&1130635&928839&833446&621708,oMwqlgSDlBf22MaFEGbPUAQaED8xfuRgDRIv1l&oIHfCALgWLOuRt4jFsLIAVGLR4AGZedRg0e1If&oMXGMQAxAoWAraRXiFHXbIXRP4BxeO8fZeAeVL&oQ4jVWH0IelfALvb1AIgIAOfRLH4FgGsRRLeGt&ooAAjL1LV40CGfPGGeHFfpRsAIISObZRtWf4gg&o0tuSQlID8kqPBf2gEfhASgYaFaDClDEE2wRXx,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oIHfCALgWLOuRt4jFsLIAVGLR4AGZedRg0e1If/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2914&bt=1457&cs=0&ds=6&ft=4KJMyMzm8Zmo0hyj1-4jVrXZdpWrKsd.&mime_type=video_mp4&qs=0&rc=NDppODxpZGdnOTQ3aTk2N0BpM3VyanU5cjxpcDMzZzczNEBhNmMxMzBgXy8xLy1hMDFjYSNgbmMzMmRjaXBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074597&l=202403311616219BD9C3B588444351FC3C&ply_type=2&policy=2&signature=78293f4de4ed1937c0ccbe13da60b329&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711901780.911705,1711901780.913388,1711901781.816544,1711901781.817788
2,oAbiajBrIT6Cpt8AqguBfBxIXBAiQMEwplayEv,342,1010406&757025&563961&533695&434345&421258,oAbiajBrIT6Cpt8AqguBfBxIXBAiQMEwplayEv&ooODloGHQLAcIpCwigIk3lIeHpR0ej0gLeNTAV&ookCwceAjR0GjOpSgtfjnHecIVHLgjILAQiIDF&oEHjGIA0QOLgD8IhICBhVkLrewicIHeRpaAecH&o0wRBiEayBtRkqB6ABA9XNg8iQXIpEfILCvTgx&owpBxRVLiL0QEmiwy0qAajEfTX6IABC8gIB5vB,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oAbiajBrIT6Cpt8AqguBfBxIXBAiQMEwplayEv/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1972&bt=986&cs=0&ds=6&ft=4KJMyMzm8Zmo0Nyj1-4jVJnrdpWrKsd.&mime_type=video_mp4&qs=0&rc=M2c6ZjU0Zmk8NGQ0PDg7O0BpamQ7dXQ5cjM7cTMzZzczNEAzNGItYWAxXi4xMy0xNl4vYSNsMG82MmRza2RgLS1kMS9zcw%3D%3D&btag=e000a0000&expire=1712074926&l=202403311616236364437340EBE9512F93&ply_type=2&policy=2&signature=a2f5e79e80af067e8ddf6efc61efe1bf&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1711901783.283863,1711901783.284665,1711901784.0712478,1711901784.07345
3,o8Aliw96JAMzQR5rgIiaf4SBBfmrzGOiDEBv5E,62,1417385&1234050&1039691&838332&605521&421941,oA4E0iaBgrKB69zifklRDQAzIA5mmfEAOBWLbS&o8Aliw96JAMzQR5rgIiaf4SBBfmrzGOiDEBv5E&o4SBaH9wiDUQEZigl5rA64OfA9zRBBEf5IDWmz&oIIWeHAAk5AWRQ7wfLjbY883f0MgHCxidAmLEz&oUF5RlEAf3miE40uDAEgrz9fB6YgviIBQzSBaO&os65BrgffAIpy9THQBRlmGBa4iDSiEJzAODEkz,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/o8Aliw96JAMzQR5rgIiaf4SBBfmrzGOiDEBv5E/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2410&bt=1205&cs=0&ds=6&ft=4KJMyMzm8Zmo0Nyj1-4jVJnrdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZjU1OWdoOjdlM2Q6MzU5ZEBpM2VlPG05cjN3cTMzZzczNEAxNS80XzQ1Xl4xXzFeYmMyYSNhNGstMmRzcXBgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712074646&l=202403311616236364437340EBE9512F93&ply_type=2&policy=2&signature=4493cb149a52b75b87fbb7793ed734ac&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711901783.283863,1711901783.284665,1711901784.0712478,1711901784.07345
4,o8MBBUEpIigTiSzwgnoiSAyEEQZK4szBP6UZ3,16,872979&688915&519455&483851&472314&360273,o8MBBUEpIigTiSzwgnoiSAyEEQZK4szBP6UZ3&o4A6BQMiEyEB4BoB5PUZoIazwZT9Kii3VgzZU&oUAAUwKBgiEcaEUTyZBz4UPolE3ZQMiCBizI6&oI4SmBUzTZz6iodZIAEUvAiKMPgEIBy3wiPmB&oElRSdmpIBnQyAFRuDFIn1edSkE1gWfE4jUDEg&ookyuDk6IASIpnWEuDUE5FjVeQURgqF1lmBngf,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/o8MBBUEpIigTiSzwgnoiSAyEEQZK4szBP6UZ3/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1704&bt=852&cs=0&ds=6&ft=4KJMyMzm8Zmo0Nyj1-4jVJnrdpWrKsd.&mime_type=video_mp4&qs=0&rc=aGQ0OmlpOGc4ODc5ZTg8NkBpM21kZnE5cmxscDMzZzczNEBjMTFgYDFgNjMxYDItXy1jYSNsMnNeMmQ0ZTZgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074600&l=202403311616236364437340EBE9512F93&ply_type=2&policy=2&signature=1bd6e88eb4178f131e526f454d9f1366&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711901783.283863,1711901783.284665,1711901784.0712478,1711901784.07345
5,oEXGbNZUMIeMCkvYAaXgkNjjfC8PLJHQQ8AfIS,28,1600862&1394200&782999&669853&620022&462721,oQvgNIKjkvLACG4bfVQHCXSIjH5MUAYkGQ8eaf&oEXGbNZUMIeMCkvYAaXgkNjjfC8PLJHQQ8AfIS&o8kCvXCjkMLeSGIYbAFfAUsaQ8fjUWHQOMIQNg&ooMmIhiXQnpI7vskBQBAEW09I6ywbAGCCjixfv&o0iWsCgy0AQmBvIQi9njaIbApMkfE2xFC6hwIB&o4xkIvw0fAIIWWijQBIynNAhbiBpiCjm6jBEH9,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oEXGbNZUMIeMCkvYAaXgkNjjfC8PLJHQQ8AfIS/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2722&bt=1361&cs=0&ds=6&ft=4KJMyMzm8Zmo0uyj1-4jVx5bdpWrKsd.&mime_type=video_mp4&qs=0&rc=PGRmOmlkZjM7ZDszZDc7ZkBpamk5PHc5cjc5cDMzZzczNEAuL19jYjMzNTYxNC0yLS1eYSNkYXJxMmRjamZgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074631&l=202403311616421F52402B289E79520EC8&ply_type=2&policy=2&signature=2a6f2d305c6bd584a111b2c611a6c99a&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711901802.75391,1711901802.754508,1711901803.595886,1711901803.596936
6,oAfmpERwENDCIJtEBgFB0IrmDJD1EQB8YeQPKA,71,429813&365734&278574&251958&197455,oAfmpERwENDCIJtEBgFB0IrmDJD1EQB8YeQPKA&o4fIJw0ADQBEIEQK8YDePmE3CIDBYgRJYFJEk1&owD1YE8QBEgC0FOEePof0IPltECJBRQKJmIYAD&oQAQJFE0BCK1DgaCRf1BYOE8QPEYDMKEemxIIJ&oQBsehEEIDQm0kCf1gFPJLUEJyBIkEAKDBYRQ8,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oAfmpERwENDCIJtEBgFB0IrmDJD1EQB8YeQPKA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=838&bt=419&cs=0&ds=6&ft=4KJMyMzm8Zmo06yj1-4jVxUZdpWrKsd.&mime_type=video_mp4&qs=0&rc=Zjo4aDY1Ojk6OjtkOTNpaUBpanhqcHg5cndycjMzZjczM0AxYy5jX2JhXjMxXjIuX2EzYSMxMWgvMmQ0LTFgLS1kMWNzcw%3D%3D&btag=e00090000&expire=1712074679&l=202403311616483B06EA1C89400E5368BC&ply_type=2&policy=2&signature=ede4b23229b20485e2a3f7c1ea688374&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1,20&2&24&14&28, 1711901807.876972,1711901807.877835,1711901809.057769,1711901809.17925
7,oUeGj0GLQLAvITCEigIkNfIDH7vkejySMCnoA4,23,575995&537246&435915&359182&283183,oUeGj0GLQLAvITCEigIkNfIDH7vkejySMCnoA4&oIHHfvMRSFxGSCkfALkvveIhLIAjwAE7yEN8Fg&oYQSIgHbjfyEAsGMeLowe4NCiv7ILICAkGvsC5&osHCCMvCeGvII6Lj74IgrjAkyfAeiL7SAIEQnG&o0Ry4dIIQHAMLLEeCfLkS44GinvytIAeGCvjZ7,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oUeGj0GLQLAvITCEigIkNfIDH7vkejySMCnoA4/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1124&bt=562&cs=0&ds=6&ft=4KJMyMzm8Zmo06yj1-4jVxUZdpWrKsd.&mime_type=video_mp4&qs=0&rc=OTllaTY8aDczMzc5PGZlZUBpanY3ang5cnNxcjMzZzczNEBeMGBjYDUzNjUxMGE1MjAxYSM1M19zMmRjbzFgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074631&l=202403311616483B06EA1C89400E5368BC&ply_type=2&policy=2&signature=46491682b4c4bd7b2e8fbc3053f7f01e&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1711901807.876972,1711901807.877835,1711901809.057769,1711901809.17925
8,o4kqeeXeGIgVoS8QAQLgQqMfrKerwDcQIhARiS,12,1306321&1211458&910793&747859&654056&485964,oAwtQkl8fKXgeALM8chRjEfAHSiUAfeAtQ7GIQ&o4kqeeXeGIgVoS8QAQLgQqMfrKerwDcQIhARiS&o4wIqeQaQe8iQgSKrSyGecoMQfALgreACKJwIR&o0RwSgGQQcKICI8PeiAAIlNLqeSf9orQbHeMQe&ogyUee88GQQUQS8QAhLeQsMfXKe4w2cgIjAjiS&okAcWUrSyewIeKB78AGeQQf7QSeMIQLARnqioR,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/o4kqeeXeGIgVoS8QAQLgQqMfrKerwDcQIhARiS/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2366&bt=1183&cs=0&ds=6&ft=4KJMyMzm8Zmo06yj1-4jVxUZdpWrKsd.&mime_type=video_mp4&qs=0&rc=Mzw5aWVlaTk1OjNlaTxnO0BpM29ubHk5cjZxcjMzZzczNEA1NV5iYjJeXzAxLWMvLWJfYSNuZDM0MmRzZjFgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074620&l=202403311616483B06EA1C89400E5368BC&ply_type=2&policy=2&signature=fbea98b7b2d58b514102b5032d8f4d01&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711901807.876972,1711901807.877835,1711901809.057769,1711901809.17925
9,osguBEKtmDCErVxfADBbs4ECFNsISEfRDEIPI3,9,726557&588025&484293&437035&335036,osguBEKtmDCErVxfADBbs4ECFNsISEfRDEIPI3&oMLVIx3fRmE9ISDRBtDIBsFKoUaCgAfIPOrGEE&oUPIRnVIDDrCtSBIv3FEgsEERAf8JOxfEJBmRK&o0tIsmIPEHOKAFPABISIKgDrZxQCB3DfEEDfRV&ogrRjVu8MQkpIyH8WCELwAZIIaGMeAACjAeeGR,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/osguBEKtmDCErVxfADBbs4ECFNsISEfRDEIPI3/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1418&bt=709&cs=0&ds=6&ft=4KJMyMzm8Zmo06yj1-4jVxUZdpWrKsd.&mime_type=video_mp4&qs=0&rc=aDNoNDk6ZzY2aGY3OjszaUBpam9ubHk5cmZkcjMzZzczNEA2MC8wLjVgX14xYy8xNV82YSNvLzI0MmRjajFgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074617&l=202403311616483B06EA1C89400E5368BC&ply_type=2&policy=2&signature=3fbee18b98e8a666358e997b00fe6c3f&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1711901807.876972,1711901807.877835,1711901809.057769,1711901809.17925
